concept_id,x_value,class,contribution
asymmetry,-2.1759603023529053,df,0.11904934793710709
asymmetry,-2.1759603023529053,mel,-0.24723175168037415
asymmetry,-2.1759603023529053,nv,-0.29621952772140503
asymmetry,-2.1759603023529053,vasc,-0.1452838033437729
asymmetry,-2.15110445022583,akiec,0.5324479341506958
asymmetry,-2.15110445022583,bcc,0.18478110432624817
asymmetry,-2.15110445022583,bkl,-0.11450378596782684
asymmetry,-2.15110445022583,df,0.11690795421600342
asymmetry,-2.15110445022583,mel,-0.24324120581150055
asymmetry,-2.15110445022583,nv,-0.2917633652687073
asymmetry,-2.15110445022583,vasc,-0.14340610802173615
asymmetry,-2.126248598098755,akiec,0.526229739189148
asymmetry,-2.126248598098755,bcc,0.18195292353630066
asymmetry,-2.126248598098755,bkl,-0.1131763681769371
asymmetry,-2.126248598098755,df,0.11476662755012512
asymmetry,-2.126248598098755,mel,-0.23925068974494934
asymmetry,-2.126248598098755,nv,-0.2873072624206543
asymmetry,-2.126248598098755,vasc,-0.14152845740318298
asymmetry,-2.1013927459716797,akiec,0.5200114250183105
asymmetry,-2.1013927459716797,bcc,0.17912480235099792
asymmetry,-2.1013927459716797,bkl,-0.11184903979301453
asymmetry,-2.1013927459716797,df,0.11262532323598862
asymmetry,-2.1013927459716797,mel,-0.23526029288768768
asymmetry,-2.1013927459716797,nv,-0.2828512191772461
asymmetry,-2.1013927459716797,vasc,-0.13965076208114624
asymmetry,-2.0765368938446045,akiec,0.5137932300567627
asymmetry,-2.0765368938446045,bcc,0.17629662156105042
asymmetry,-2.0765368938446045,bkl,-0.11052165925502777
asymmetry,-2.0765368938446045,df,0.11048398166894913
asymmetry,-2.0765368938446045,mel,-0.23126976191997528
asymmetry,-2.0765368938446045,nv,-0.2783951163291931
asymmetry,-2.0765368938446045,vasc,-0.1377730816602707
asymmetry,-2.0516810417175293,akiec,0.5075749158859253
asymmetry,-2.0516810417175293,bcc,0.1734684854745865
asymmetry,-2.0516810417175293,bkl,-0.10919429361820221
asymmetry,-2.0516810417175293,df,0.10834269225597382
asymmetry,-2.0516810417175293,mel,-0.22727935016155243
asymmetry,-2.0516810417175293,nv,-0.2739390432834625
asymmetry,-2.0516810417175293,vasc,-0.13589541614055634
asymmetry,-2.026825189590454,akiec,0.5013567209243774
asymmetry,-2.026825189590454,bcc,0.17064031958580017
asymmetry,-2.026825189590454,bkl,-0.10786695778369904
asymmetry,-2.026825189590454,df,0.10620134323835373
asymmetry,-2.026825189590454,mel,-0.22328881919384003
asymmetry,-2.026825189590454,nv,-0.26948297023773193
asymmetry,-2.026825189590454,vasc,-0.13401775062084198
asymmetry,-2.001969337463379,akiec,0.49513840675354004
asymmetry,-2.001969337463379,bcc,0.16781215369701385
asymmetry,-2.001969337463379,bkl,-0.10653956979513168
asymmetry,-2.001969337463379,df,0.10405999422073364
asymmetry,-2.001969337463379,mel,-0.2192983478307724
asymmetry,-2.001969337463379,nv,-0.2650268077850342
asymmetry,-2.001969337463379,vasc,-0.13214004039764404
asymmetry,-1.9771134853363037,akiec,0.4889201819896698
asymmetry,-1.9771134853363037,bcc,0.16498400270938873
asymmetry,-1.9771134853363037,bkl,-0.10521216690540314
asymmetry,-1.9771134853363037,df,0.10191868245601654
asymmetry,-1.9771134853363037,mel,-0.21530786156654358
asymmetry,-1.9771134853363037,nv,-0.260570764541626
asymmetry,-1.9771134853363037,vasc,-0.13026241958141327
asymmetry,-1.9522576332092285,akiec,0.48270195722579956
asymmetry,-1.9522576332092285,bcc,0.1621558517217636
asymmetry,-1.9522576332092285,bkl,-0.10388483852148056
asymmetry,-1.9522576332092285,df,0.09977736324071884
asymmetry,-1.9522576332092285,mel,-0.21131740510463715
asymmetry,-1.9522576332092285,nv,-0.256114661693573
asymmetry,-1.9522576332092285,vasc,-0.12838472425937653
asymmetry,-1.9274017810821533,akiec,0.47647935152053833
asymmetry,-1.9274017810821533,bcc,0.15930938720703125
asymmetry,-1.9274017810821533,bkl,-0.10252905637025833
asymmetry,-1.9274017810821533,df,0.09762614965438843
asymmetry,-1.9274017810821533,mel,-0.20731256902217865
asymmetry,-1.9274017810821533,nv,-0.2516423761844635
asymmetry,-1.9274017810821533,vasc,-0.1265084594488144
asymmetry,-1.9025459289550781,akiec,0.4702565670013428
asymmetry,-1.9025459289550781,bcc,0.1564624309539795
asymmetry,-1.9025459289550781,bkl,-0.101172536611557
asymmetry,-1.9025459289550781,df,0.0954747125506401
asymmetry,-1.9025459289550781,mel,-0.2033073604106903
asymmetry,-1.9025459289550781,nv,-0.24716967344284058
asymmetry,-1.9025459289550781,vasc,-0.12463229894638062
asymmetry,-1.877690076828003,akiec,0.4640338122844696
asymmetry,-1.877690076828003,bcc,0.15361550450325012
asymmetry,-1.877690076828003,bkl,-0.09981606900691986
asymmetry,-1.877690076828003,df,0.09332326799631119
asymmetry,-1.877690076828003,mel,-0.19930215179920197
asymmetry,-1.877690076828003,nv,-0.24269694089889526
asymmetry,-1.877690076828003,vasc,-0.12275602668523788
asymmetry,-1.8528342247009277,akiec,0.45781105756759644
asymmetry,-1.8528342247009277,bcc,0.15076857805252075
asymmetry,-1.8528342247009277,bkl,-0.09845957905054092
asymmetry,-1.8528342247009277,df,0.09117187559604645
asymmetry,-1.8528342247009277,mel,-0.195296972990036
asymmetry,-1.8528342247009277,nv,-0.23822426795959473
asymmetry,-1.8528342247009277,vasc,-0.12087983638048172
asymmetry,-1.8279783725738525,akiec,0.45158830285072327
asymmetry,-1.8279783725738525,bcc,0.147921621799469
asymmetry,-1.8279783725738525,bkl,-0.0971030592918396
asymmetry,-1.8279783725738525,df,0.08902040123939514
asymmetry,-1.8279783725738525,mel,-0.19129173457622528
asymmetry,-1.8279783725738525,nv,-0.23375153541564941
asymmetry,-1.8279783725738525,vasc,-0.11900363862514496
asymmetry,-1.8031225204467773,akiec,0.4453655481338501
asymmetry,-1.8031225204467773,bcc,0.14507469534873962
asymmetry,-1.8031225204467773,bkl,-0.09574659168720245
asymmetry,-1.8031225204467773,df,0.08686896413564682
asymmetry,-1.8031225204467773,mel,-0.18728651106357574
asymmetry,-1.8031225204467773,nv,-0.2292788326740265
asymmetry,-1.8031225204467773,vasc,-0.11712738871574402
asymmetry,-1.7782666683197021,akiec,0.43914279341697693
asymmetry,-1.7782666683197021,bcc,0.14222776889801025
asymmetry,-1.7782666683197021,bkl,-0.09439007192850113
asymmetry,-1.7782666683197021,df,0.08471747487783432
asymmetry,-1.7782666683197021,mel,-0.1832813024520874
asymmetry,-1.7782666683197021,nv,-0.22480608522891998
asymmetry,-1.7782666683197021,vasc,-0.11525116115808487
asymmetry,-1.753410816192627,akiec,0.4330245554447174
asymmetry,-1.753410816192627,bcc,0.13930827379226685
asymmetry,-1.753410816192627,bkl,-0.09306150674819946
asymmetry,-1.753410816192627,df,0.08257769048213959
asymmetry,-1.753410816192627,mel,-0.1794622391462326
asymmetry,-1.753410816192627,nv,-0.22042585909366608
asymmetry,-1.753410816192627,vasc,-0.11355264484882355
asymmetry,-1.7285549640655518,akiec,0.4269191026687622
asymmetry,-1.7285549640655518,bcc,0.13637980818748474
asymmetry,-1.7285549640655518,bkl,-0.0917363092303276
asymmetry,-1.7285549640655518,df,0.08043927699327469
asymmetry,-1.7285549640655518,mel,-0.17566603422164917
asymmetry,-1.7285549640655518,nv,-0.2160569280385971
asymmetry,-1.7285549640655518,vasc,-0.1118759885430336
asymmetry,-1.7036991119384766,akiec,0.4208136200904846
asymmetry,-1.7036991119384766,bcc,0.13345138728618622
asymmetry,-1.7036991119384766,bkl,-0.09041111916303635
asymmetry,-1.7036991119384766,df,0.07830090820789337
asymmetry,-1.7036991119384766,mel,-0.17186984419822693
asymmetry,-1.7036991119384766,nv,-0.21168801188468933
asymmetry,-1.7036991119384766,vasc,-0.11019929498434067
asymmetry,-1.6788432598114014,akiec,0.4146398901939392
asymmetry,-1.6788432598114014,bcc,0.13062335550785065
asymmetry,-1.6788432598114014,bkl,-0.08896011859178543
asymmetry,-1.6788432598114014,df,0.0761246308684349
asymmetry,-1.6788432598114014,mel,-0.16819725930690765
asymmetry,-1.6788432598114014,nv,-0.20729076862335205
asymmetry,-1.6788432598114014,vasc,-0.10851474851369858
asymmetry,-1.6539874076843262,akiec,0.40847450494766235
asymmetry,-1.6539874076843262,bcc,0.12784509360790253
asymmetry,-1.6539874076843262,bkl,-0.08690919727087021
asymmetry,-1.6539874076843262,df,0.0734897255897522
asymmetry,-1.6539874076843262,mel,-0.16451327502727509
asymmetry,-1.6539874076843262,nv,-0.20267069339752197
asymmetry,-1.6539874076843262,vasc,-0.106389619410038
asymmetry,-1.629131555557251,akiec,0.4023638963699341
asymmetry,-1.629131555557251,bcc,0.12502557039260864
asymmetry,-1.629131555557251,bkl,-0.08457063138484955
asymmetry,-1.629131555557251,df,0.0705927163362503
asymmetry,-1.629131555557251,mel,-0.16073265671730042
asymmetry,-1.629131555557251,nv,-0.19793051481246948
asymmetry,-1.629131555557251,vasc,-0.1039920374751091
asymmetry,-1.6042757034301758,akiec,0.3962533473968506
asymmetry,-1.6042757034301758,bcc,0.12220600247383118
asymmetry,-1.6042757034301758,bkl,-0.08223200589418411
asymmetry,-1.6042757034301758,df,0.06769570708274841
asymmetry,-1.6042757034301758,mel,-0.15695185959339142
asymmetry,-1.6042757034301758,nv,-0.1931902915239334
asymmetry,-1.6042757034301758,vasc,-0.1015944704413414
asymmetry,-1.5794198513031006,akiec,0.3901427388191223
asymmetry,-1.5794198513031006,bcc,0.1193864643573761
asymmetry,-1.5794198513031006,bkl,-0.07989335805177689
asymmetry,-1.5794198513031006,df,0.06479868292808533
asymmetry,-1.5794198513031006,mel,-0.15317118167877197
asymmetry,-1.5794198513031006,nv,-0.18845005333423615
asymmetry,-1.5794198513031006,vasc,-0.0991969108581543
asymmetry,-1.5545639991760254,akiec,0.38402360677719116
asymmetry,-1.5545639991760254,bcc,0.11652100831270218
asymmetry,-1.5545639991760254,bkl,-0.07758554816246033
asymmetry,-1.5545639991760254,df,0.06196679174900055
asymmetry,-1.5545639991760254,mel,-0.14941631257534027
asymmetry,-1.5545639991760254,nv,-0.1837817132472992
